wstday,Grippe,Influenza,faelle
datetime,float,float,float
T,,,
2008-01-06,0,3,0
2008-01-13,19,3,0
2008-01-20,3,0,5
2008-01-27,6,3,35
2008-02-03,13,10,81
2008-02-10,0,3,63
2008-02-17,3,0,78
2008-02-24,13,10,93
2008-03-02,0,0,94
2008-03-09,3,3,76
2008-03-16,7,0,54
2008-03-23,4,0,40
2008-03-30,0,3,23
2008-04-06,10,0,3
2008-04-13,3,0,11
2008-04-20,7,0,13
2008-04-27,0,0,2
2008-05-04,8,0,4
2008-05-11,8,0,15
2008-05-18,3,3,0
2008-05-25,4,4,0
2008-06-01,0,0,0
2008-06-08,0,4,0
2008-06-15,4,0,0
2008-06-22,4,0,0
2008-06-29,0,0,0
2008-07-06,0,0,0
2008-07-13,0,0,0
2008-07-20,0,4,0
2008-07-27,0,0,0
2008-08-03,0,0,0
2008-08-10,4,0,0
2008-08-17,0,4,0
2008-08-24,4,0,0
2008-08-31,0,4,0
2008-09-07,7,4,0
2008-09-14,0,0,0
2008-09-21,14,7,0
2008-09-28,18,0,0
2008-10-05,7,0,0
2008-10-12,10,3,0
2008-10-19,10,0,0
2008-10-26,6,3,0
2008-11-02,7,0,0
2008-11-09,0,3,0
2008-11-16,6,0,0
2008-11-23,3,3,0
2008-11-30,6,3,0
2008-12-07,0,3,0
2008-12-14,13,3,5
2008-12-21,19,5,5
2008-12-28,35,4,12
2009-01-04,12,9,6
2009-01-11,41,12,21
2009-01-18,58,15,54
2009-01-25,18,6,180
2009-02-01,28,15,282
2009-02-08,12,6,261
2009-02-15,24,6,168
2009-02-22,6,3,62
2009-03-01,6,9,55
2009-03-08,0,3,62
2009-03-15,12,3,52
2009-03-22,6,3,33
2009-03-29,20,0,35
2009-04-05,4,0,16
2009-04-12,11,4,6
2009-04-19,10,3,1
2009-04-26,49,21,0
2009-05-03,22,16,0
2009-05-10,15,9,7
2009-05-17,7,0,4
2009-05-24,6,0,1
2009-05-31,13,0,0
2009-06-07,21,0,1
2009-06-14,18,0,1
2009-06-21,9,0,3
2009-06-28,10,0,5
2009-07-05,12,9,3
2009-07-12,3,6,12
2009-07-19,23,0,11
2009-07-26,21,21,46
2009-08-02,22,11,53
2009-08-09,21,14,94
2009-08-16,10,3,72
2009-08-23,10,7,35
2009-08-30,16,3,59
2009-09-06,13,9,41
2009-09-13,9,0,50
2009-09-20,15,0,66
2009-09-27,6,3,62
2009-10-04,12,3,40
2009-10-11,12,6,47
2009-10-18,21,6,20
2009-10-25,27,9,46
2009-11-01,72,20,80
2009-11-08,100,23,152
2009-11-15,59,6,441
2009-11-22,38,3,1472
2009-11-29,36,3,966
2009-12-06,15,0,715
2009-12-13,9,0,487
2009-12-20,17,4,363
2009-12-27,17,0,297
2010-01-03,9,0,110
2010-01-10,3,0,52
2010-01-10,3,0,64
2010-01-17,3,3,39
2010-01-24,14,0,15
2010-01-31,6,0,13
2010-02-07,3,0,10
2010-02-14,6,3,5
2010-02-21,6,0,6
2010-02-28,3,0,3
2010-03-07,6,0,2
2010-03-14,6,3,4
2010-03-21,6,0,2
2010-03-28,7,0,3
2010-04-04,3,3,0
2010-04-11,6,6,3
2010-04-18,3,0,2
2010-04-25,9,3,0
2010-05-02,3,3,1
2010-05-09,10,0,1
2010-05-16,0,3,1
2010-05-23,7,0,0
2010-05-30,0,0,0
2010-06-06,6,0,0
2010-06-13,0,0,0
2010-06-20,3,3,0
2010-06-27,3,0,0
2010-07-04,6,0,0
2010-07-11,3,3,0
2010-07-18,0,0,0
2010-07-25,9,0,1
2010-08-01,0,6,0
2010-08-08,0,0,0
2010-08-15,3,0,0
2010-08-22,3,3,0
2010-08-29,3,3,0
2010-09-05,3,0,0
2010-09-12,8,0,0
2010-09-19,0,3,1
2010-09-26,16,0,0
2010-10-03,8,0,0
2010-10-10,3,6,1
2010-10-17,3,3,0
2010-10-24,3,3,0
2010-10-31,8,5,0
2010-11-07,18,3,0
2010-11-14,10,3,0
2010-11-21,18,3,1
2010-11-28,5,0,1
2010-12-05,18,0,1
2010-12-12,3,0,4
2010-12-19,7,0,9
2010-12-26,17,0,11
2011-01-02,22,4,12
2011-01-09,26,5,65
2011-01-16,23,7,226
2011-01-23,20,7,352
2011-01-30,24,7,311
2011-02-06,18,4,320
2011-02-13,17,4,381
2011-02-20,20,4,273
2011-02-27,15,1,210
2011-03-06,17,2,228
2011-03-13,16,2,181
2011-03-20,5,7,163
2011-03-27,12,3,101
2011-04-03,8,1,47
2011-04-10,6,1,16
2011-04-17,3,1,7
2011-04-24,3,2,6
2011-05-01,6,1,2
2011-05-08,3,1,0
2011-05-15,2,1,1
2011-05-22,7,3,1
2011-05-29,9,0,0
2011-06-05,7,1,0
2011-06-12,3,2,1
2011-06-19,5,3,0
2011-06-26,5,1,0
2011-07-03,3,2,0
2011-07-10,2,2,0
2011-07-17,2,2,0
2011-07-24,2,2,0
2011-07-31,6,1,0
2011-08-07,6,1,0
2011-08-14,1,1,0
2011-08-21,3,1,0
2011-08-28,3,1,0
2011-09-04,3,1,0
2011-09-11,5,1,0
2011-09-18,5,2,0
2011-09-25,11,1,0
2011-10-02,8,1,0
2011-10-09,3,1,0
2011-10-16,6,1,0
2011-10-23,8,2,0
2011-10-30,10,1,0
2011-11-06,7,5,0
2011-11-13,9,0,0
2011-11-20,11,0,0
2011-11-27,9,1,1
2011-12-04,8,1,1
2011-12-11,13,3,8
2011-12-18,11,1,4
2011-12-25,11,1,2
2012-01-01,9,2,3
2012-01-08,15,1,3
2012-01-15,6,2,5
2012-01-22,6,1,4
2012-01-29,14,1,40
2012-02-05,11,1,13
2012-02-12,11,3,18
2012-02-19,14,6,30
2012-02-26,14,3,62
2012-03-04,8,3,47
2012-03-11,8,3,44
2012-03-18,8,3,36
2012-03-25,7,2,23
2012-04-01,10,2,12
2012-04-08,8,2,3
2012-04-15,9,1,11
2012-04-22,7,2,7
2012-04-29,5,1,0
2012-05-06,6,1,2
2012-05-13,6,2,1
2012-05-20,6,3,0
2012-05-27,6,1,0
2012-06-03,4,2,0
2012-06-10,5,2,0
2012-06-17,4,1,1
2012-06-24,7,1,0
2012-07-01,5,1,1
2012-07-08,7,0,0
2012-07-15,2,2,0
2012-07-22,6,0,1
2012-07-29,5,1,0
2012-08-05,7,0,0
2012-08-12,3,2,0
2012-08-19,7,1,0
2012-08-26,4,1,1
2012-09-02,8,1,1
2012-09-09,9,1,0
2012-09-16,6,2,0
2012-09-23,10,2,0
2012-09-30,12,1,0
2012-10-07,17,0,0
2012-10-14,15,1,0
2012-10-21,16,1,0
2012-10-28,12,1,0
2012-11-04,13,4,0
2012-11-11,13,3,1
2012-11-18,15,4,1
2012-11-25,9,3,0
2012-12-02,9,2,0
2012-12-09,8,1,2
2012-12-16,6,0,3
2012-12-23,10,2,17
2012-12-30,11,2,7
2013-01-06,16,4,0
2013-01-13,20,7,1
2013-01-20,34,9,44
2013-01-27,49,16,84
2013-02-03,62,20,130
2013-02-10,59,12,383
