,Messtation,PM-10-Tagesmittel,PM-10-over,NO2-Tagesmittel,NO2-Max,Benzol-Tagesmittel,Benzol-Max,CO-Tagesmittel,CO-8hrs,Ozon-Max,Ozon-8hrs,SO2-Tagesmittel,SO2-Max,Datum
0,MC010,42.0,0.0,16.0,,0.5,,0.5,,,,,,2008-01-02
1,MC018,32.0,1.0,27.0,39.0,,,,,,,,,2008-01-02
2,MC027,29.0,0.0,17.0,28.0,,,0.3,0.4,41.0,33.0,,,2008-01-02
3,MC032,27.0,0.0,20.0,34.0,,,0.3,0.4,38.0,29.0,,,2008-01-02
4,MC042,36.0,1.0,21.0,28.0,,,0.4,0.5,34.0,27.0,,,2008-01-02
5,MC077,30.0,0.0,10.0,14.0,,,,,46.0,34.0,,,2008-01-02
6,MC085,32.0,1.0,9.0,15.0,,,,,45.0,38.0,,,2008-01-02
7,MC145,,,10.0,13.0,,,,,44.0,33.0,,,2008-01-02
8,MC171,23.0,1.0,19.0,30.0,,,0.3,0.4,,,,,2008-01-02
9,MC282,,,14.0,21.0,,,0.2,0.3,,,4.0,10.0,2008-01-02
10,MC115,44.0,0.0,69.0,,,,0.5,,,,,,2008-01-02
11,MC117,40.0,1.0,35.0,57.0,1.8,3.3,0.7,0.9,,,,,2008-01-02
12,MC143,41.0,1.0,54.0,82.0,,,,,,,,,2008-01-02
13,MC174,40.0,1.0,34.0,56.0,2.3,4.0,0.5,0.7,,,1.0,3.0,2008-01-02
14,MC220,34.0,1.0,31.0,45.0,,,,,,,,,2008-01-02
0,MC010,46.0,0.0,17.0,23.0,0.0,0.4,0.5,0.6,39.0,36.0,,,2008-01-03
1,MC018,45.0,1.0,23.0,30.0,,,,,,,,,2008-01-03
2,MC027,41.0,0.0,15.0,23.0,,,0.3,0.4,42.0,40.0,,,2008-01-03
3,MC032,44.0,0.0,16.0,25.0,,,0.4,0.4,41.0,38.0,,,2008-01-03
4,MC042,46.0,1.0,15.0,22.0,2.3,,0.4,0.4,39.0,38.0,,,2008-01-03
5,MC077,42.0,0.0,12.0,20.0,,,,,44.0,42.0,,,2008-01-03
6,MC085,40.0,1.0,8.0,15.0,,,,,44.0,43.0,,,2008-01-03
7,MC145,,,10.0,16.0,,,,,42.0,40.0,,,2008-01-03
8,MC171,43.0,1.0,17.0,24.0,,,0.4,0.5,,,,,2008-01-03
9,MC282,,,11.0,17.0,,,0.3,0.3,,,7.0,14.0,2008-01-03
10,MC115,51.0,1.0,51.0,79.0,,,0.5,0.6,,,,,2008-01-03
11,MC117,53.0,2.0,29.0,41.0,2.0,2.7,0.8,0.9,,,,,2008-01-03
12,MC143,60.0,2.0,46.0,66.0,,,,,,,,,2008-01-03
13,MC174,53.0,2.0,33.0,49.0,2.4,3.8,0.5,0.6,,,3.0,5.0,2008-01-03
14,MC220,46.0,1.0,30.0,40.0,,,,,,,,,2008-01-03
0,MC010,44.0,0.0,25.0,36.0,1.6,3.8,0.6,0.7,33.0,28.0,,,2008-01-04
1,MC018,46.0,1.0,29.0,38.0,,,,,,,,,2008-01-04
2,MC027,43.0,0.0,20.0,28.0,,,0.4,0.5,43.0,40.0,,,2008-01-04
3,MC032,44.0,0.0,19.0,27.0,,,0.4,0.5,37.0,35.0,,,2008-01-04
4,MC042,47.0,1.0,19.0,28.0,2.4,3.6,0.5,0.5,40.0,39.0,,,2008-01-04
5,MC077,42.0,0.0,15.0,21.0,,,,,43.0,41.0,,,2008-01-04
6,MC085,41.0,1.0,12.0,22.0,,,,,46.0,44.0,,,2008-01-04
7,MC145,,,14.0,22.0,,,,,43.0,40.0,,,2008-01-04
8,MC171,46.0,1.0,20.0,27.0,,,0.4,0.5,,,,,2008-01-04
9,MC282,,,14.0,24.0,,,0.3,0.4,,,14.0,18.0,2008-01-04
10,MC115,51.0,2.0,64.0,89.0,,,0.5,0.7,,,,,2008-01-04
11,MC117,54.0,3.0,38.0,50.0,2.5,3.5,0.9,1.0,,,,,2008-01-04
12,MC143,62.0,3.0,59.0,90.0,,,,,,,,,2008-01-04
13,MC174,53.0,3.0,42.0,73.0,3.1,4.4,0.6,0.8,,,7.0,9.0,2008-01-04
14,MC220,49.0,1.0,41.0,52.0,,,,,,,,,2008-01-04
