,Windrichtung,Windgeschwindigkeit,Temperatur,rel. Luftfeuchte,Datum
0,96.0,1.9,-0.1,99.0,2008-01-01
0,96.0,1.9,-0.1,99.0,2008-01-02
0,95.9,4.5,-3.4,91.5,2008-01-03
0,98.9,4.2,-5.4,80.6,2008-01-04
0,137.2,3.8,-1.0,90.2,2008-01-05
0,197.9,2.3,1.0,99.0,2008-01-06
0,188.4,2.8,1.9,98.9,2008-01-07
0,231.0,3.5,4.9,89.9,2008-01-08
0,201.3,2.8,3.9,86.9,2008-01-09
0,178.4,3.1,3.5,94.6,2008-01-10
0,179.1,3.3,7.3,82.0,2008-01-11
0,169.8,3.1,4.4,87.8,2008-01-12
0,174.2,2.5,2.8,88.0,2008-01-13
0,164.5,3.1,2.9,91.1,2008-01-14
0,180.5,4.3,6.0,85.5,2008-01-15
0,180.9,3.5,7.1,86.1,2008-01-16
0,180.6,2.5,5.3,91.6,2008-01-17
0,209.2,3.4,7.0,96.6,2008-01-18
0,246.6,3.6,9.5,99.0,2008-01-19
0,219.8,3.1,8.3,98.9,2008-01-20
0,253.9,3.8,9.5,98.9,2008-01-21
0,296.5,3.9,3.5,92.6,2008-01-22
0,231.4,2.7,3.2,92.4,2008-01-23
0,228.0,3.6,7.3,95.2,2008-01-24
0,250.5,5.2,6.2,72.3,2008-01-25
0,260.7,6.0,8.3,86.7,2008-01-26
0,297.7,3.8,6.3,96.7,2008-01-27
0,248.6,1.5,5.2,98.9,2008-01-28
0,242.0,1.8,6.7,98.6,2008-01-29
0,231.1,2.1,4.8,95.4,2008-01-30
0,221.0,4.3,3.3,84.5,2008-01-31
0,214.4,5.2,6.1,77.4,2008-02-01
0,240.2,3.3,3.2,89.3,2008-02-02
0,169.6,2.8,1.2,80.8,2008-02-03
0,154.5,2.8,2.9,88.2,2008-02-04
0,203.2,3.1,5.9,88.2,2008-02-05
0,240.8,3.8,8.2,97.8,2008-02-06
0,277.6,3.8,5.1,87.0,2008-02-07
0,219.1,1.5,5.2,91.1,2008-02-08
0,168.3,1.3,5.4,89.8,2008-02-09
0,217.0,1.4,3.9,82.5,2008-02-10
0,315.3,1.7,3.7,94.3,2008-02-11
0,62.4,1.2,4.6,89.0,2008-02-12
0,307.9,1.3,3.1,83.8,2008-02-13
0,313.2,1.4,2.2,96.1,2008-02-14
0,14.9,2.3,-1.6,71.2,2008-02-15
0,16.9,1.5,-3.1,73.5,2008-02-16
